index,total_in_score,total_out_score,id,title,abstract
1,10,0,mathematics,Exploring Various Academic Disciplines (80 vertices),"Mathematics is a field of study that discovers and organizes methods, theories and theorems that are developed and proved for the needs of empirical sciences and mathematics itself.  There are many areas of mathematics, which include number theory (the study of numbers), algebra (the study of formulas and related structures), geometry (the study of shapes and spaces that contain them), analysis (the study of continuous changes), and set theory (presently used as a foundation for all mathematics)."
2,0,0,Cauchy sequence,Exploring Various Academic Disciplines (80 vertices),"In mathematics, a Cauchy sequence is a sequence whose elements become arbitrarily close to each other as the sequence progresses.  More precisely, given any small positive distance, all excluding a finite number of elements of the sequence are less than that given distance from each other.  Cauchy sequences are named after Augustin-Louis Cauchy; they may occasionally be known as fundamental sequences. It is not sufficient for each term to become arbitrarily close to the preceding term."
3,0,0,invention,Exploring Various Academic Disciplines (80 vertices),"An invention is a unique or novel device, method, composition, idea or process.  An invention may be an improvement upon a machine, product, or process for increasing efficiency or lowering cost.  It may also be  an entirely new concept.  If an idea is unique enough either as a stand-alone invention or as a significant improvement over the work of others, it can be patented."
4,1,0,thermodynamic processes,Exploring Various Academic Disciplines (80 vertices),"Classical thermodynamics considers three main kinds of thermodynamic processes: (1) changes in a system, (2) cycles in a system,  and (3) flow processes. (1) A Thermodynamic process is a process in which the thermodynamic state of a system is changed.  A change in a system is defined by a passage from an initial to a final state of thermodynamic equilibrium.  In classical thermodynamics, the actual course of the process is not the primary concern, and often is ignored."
5,0,0,essence,Exploring Various Academic Disciplines (80 vertices),"Essence (Latin: essentia) has various meanings and uses for different thinkers and in different contexts.  It is used in philosophy and theology as a designation for the property or set of properties or attributes that make an entity the entity it is or, expressed negatively, without which it would lose its identity.  Essence is contrasted with accident, which is a property or attribute the entity has accidentally or contingently, but upon which its identity does not depend."
6,0,0,event (philosophy),Exploring Various Academic Disciplines (80 vertices),"In philosophy, events are objects in time or instantiations of properties in objects.  On some views, only changes in the form of acquiring or losing a property can constitute events, like the lawn's becoming dry.  According to others, there are also events that involve nothing but the retaining of a property, e. g.  the lawn's staying wet.  Events are usually defined as particulars that, unlike universals, cannot repeat at different times."
7,0,0,future,Exploring Various Academic Disciplines (80 vertices),"Culture ( KUL-chər) is a concept that encompasses the social behavior, institutions, and norms found in human societies, as well as the knowledge, beliefs, arts, laws, customs, capabilities, attitude, and habits of the individuals in these groups.  Culture is often originated from or attributed to a specific region or location. Humans acquire culture through the learning processes of enculturation and socialization, which is shown by the diversity of cultures across societies."
8,0,0,priority date,Exploring Various Academic Disciplines (80 vertices),"Priority date is a United States immigration concept – it is the date when a principal applicant first reveals his or her intent of immigration to the US government.  For family-sponsored applicants, the priority date is the date an immigration petition, filed on behalf of him or her, is received by the United States Citizenship and Immigration Services (USCIS)."
9,0,0,novelty (patent),Exploring Various Academic Disciplines (80 vertices),"Novelty is one of the patentability requirement for a patent claim, whose purpose is to prevent issuing patents on known things, i. e.  to prevent public knowledge from being taken away from the public domain. An invention is anticipated (i. e.  not new) and therefore not patentable if it was known to the public before the priority date of the patent application.  Although the concept of ""novelty"" in patent law appears simple and self-explanatory, this view is very far from reality."
10,10,0,order theory,Exploring Various Academic Disciplines (80 vertices),"Order theory is a branch of mathematics that investigates the intuitive notion of order using binary relations.  It provides a formal framework for describing statements such as ""this is less than that"" or ""this precedes that"".  This article introduces the field and provides basic definitions.  A list of order-theoretic terms can be found in the order theory glossary.  Background and motivation Orders are everywhere in mathematics and related fields like computer science."
11,10,0,Set (mathematics),Exploring Various Academic Disciplines (80 vertices),"In mathematics, a set is a collection of different things; these things are called elements or members of the set and are typically mathematical objects of any kind: numbers, symbols, points in space, lines, other geometrical shapes, variables, or even other sets.   A set may have a finite number of elements or be an infinite set.  There is a unique set with no elements, called the empty set; a set with a single element is a singleton."
12,2,0,Universals (metaphysics),Exploring Various Academic Disciplines (80 vertices),"In metaphysics, a universal is what particular things have in common, namely characteristics or qualities.  In other words, universals are repeatable or recurrent entities that can be instantiated or exemplified by many particular things.  For example, suppose there are two chairs in a room, each of which is green.  These two chairs share the quality of ""chairness"", as well as ""greenness"" or the quality of being green; in other words, they share two ""universals""."
13,0,0,Power (physics),Exploring Various Academic Disciplines (80 vertices),"Power is the amount of energy transferred or converted per unit time.  In the International System of Units, the unit of power is the watt, equal to one joule per second.  Power is a scalar quantity. Specifying power in particular systems may require attention to other quantities; for example, the power involved in moving a ground vehicle is the product of the aerodynamic drag plus traction force on the wheels, and the velocity of the vehicle."
14,1,0,phase transition,Exploring Various Academic Disciplines (80 vertices),"In physics, chemistry, and other related fields like biology, a phase transition (or phase change) is the physical process of transition between one state of a medium and another.  Commonly the term is used to refer to changes among the basic states of matter: solid, liquid, and gas, and in rare cases, plasma.  A phase of a thermodynamic system and the states of matter have uniform physical properties."
15,0,0,Reversible process (thermodynamics),Exploring Various Academic Disciplines (80 vertices),"In thermodynamics, a reversible process is a process, involving a system and its surroundings, whose direction can be reversed by infinitesimal changes in some properties of the surroundings, such as pressure or temperature. Throughout an entire reversible process, the system is in thermodynamic equilibrium, both physical and chemical, and nearly in pressure and temperature equilibrium with its surroundings."
16,0,10,present,Exploring Various Academic Disciplines (80 vertices),"Presence (Russian: Присутствие, romanized: Prisutstvie) is a 1992 Russian drama film directed by Andrey Dobrovolskiy.  Plot The film tells about a lonely man who has only memories of his beloved woman, which cannot be returned."
17,2,0,thermodynamics,Exploring Various Academic Disciplines (80 vertices),"Thermodynamics deals with heat, work, and temperature, and their relation to energy, entropy, and the physical properties of matter and radiation.  The behavior of these quantities is governed by the four laws of thermodynamics, which convey a quantitative description using measurable macroscopic physical quantities, but may be explained in terms of microscopic constituents by statistical mechanics.  Thermodynamics plays a role in a wide variety of topics in science and engineering."
18,1,0,Praeneste fibula,Exploring Various Academic Disciplines (80 vertices),"The Praeneste fibula (the ""brooch of Palestrina"") is a golden fibula or brooch, today housed in the Pigorini National Museum of Prehistory and Ethnography in Rome.   The fibula bears an inscription in Old Latin, claiming craftsmanship by one Manios and ownership by one Numazios.   At the time of its discovery in the late nineteenth century, it was accepted as the earliest known specimen of the Latin language."
19,1,1,particulars,Exploring Various Academic Disciplines (80 vertices),"In metaphysics, particulars or individuals are usually contrasted with universals.  Universals concern features that can be exemplified by various different particulars.  Particulars are often seen as concrete, spatiotemporal entities as opposed to abstract entities, such as properties or numbers.  There are, however, theories of abstract particulars or tropes.  For example, Socrates is a particular (there's only one Socrates-the-teacher-of-Plato and one cannot make copies of him, e. g."
20,0,0,patentability,Exploring Various Academic Disciplines (80 vertices),"Within the context of a national or multilateral body of law, an invention is patentable if it meets the relevant legal conditions to be granted a patent.  By extension, patentability also refers to the substantive conditions that must be met for a patent to be held valid.  Requirements The patent laws usually require that, for an invention to be patentable, it must be:Patentable subject matter, i. e."
